iter	Passed	Remaining
0	46	46601
1	47	23630
2	48	15953
3	48	12109
4	48	9742
5	49	8282
6	50	7135
7	50	6272
8	51	5712
9	52	5166
10	52	4720
11	53	4433
12	54	4112
13	54	3835
14	54	3595
15	55	3385
16	55	3200
17	55	3034
18	55	2885
19	57	2813
20	57	2691
21	58	2579
22	58	2477
23	58	2384
24	58	2297
25	59	2218
26	59	2145
27	59	2076
28	60	2012
29	60	1953
30	60	1897
31	61	1845
32	61	1796
33	61	1750
34	61	1706
35	62	1665
36	62	1626
37	62	1589
38	63	1554
39	63	1521
40	63	1490
41	64	1460
42	64	1432
43	64	1405
44	65	1380
45	65	1355
46	65	1331
47	65	1308
48	66	1286
49	66	1265
50	66	1245
51	67	1225
52	67	1207
53	67	1189
54	68	1172
55	68	1155
56	68	1139
57	69	1123
58	69	1108
59	69	1094
60	70	1080
61	70	1066
62	70	1052
63	71	1039
64	71	1027
65	71	1014
66	72	1005
67	72	991
68	72	979
69	72	968
70	73	958
71	73	947
72	73	937
73	74	927
74	74	917
75	74	908
76	75	899
77	75	890
78	75	881
79	75	872
80	76	864
81	76	855
82	76	848
83	77	840
84	77	831
85	77	824
86	77	815
87	78	808
88	78	801
89	78	794
90	78	788
91	79	782
92	79	776
93	79	769
94	80	764
95	80	758
96	80	753
97	81	747
98	81	741
99	81	736
100	82	731
101	82	725
102	82	720
103	82	714
104	83	710
105	83	705
106	83	700
107	84	695
108	84	690
109	84	685
110	85	681
111	85	677
112	85	672
113	85	668
114	86	663
115	86	659
116	86	654
117	87	650
118	87	646
119	87	643
120	88	639
121	88	635
122	88	630
123	88	626
124	88	622
125	89	619
126	89	615
127	89	611
128	89	607
129	90	604
130	90	600
131	90	597
132	91	594
133	91	590
134	91	587
135	91	584
136	92	581
137	92	577
138	92	574
139	93	571
140	93	568
141	93	566
142	93	563
143	94	560
144	94	557
145	94	554
146	95	552
147	95	549
148	95	546
149	96	544
150	96	541
151	96	539
152	96	536
153	97	533
154	97	532
155	97	529
156	98	527
157	98	525
158	98	522
159	99	520
160	99	518
161	99	516
162	100	513
163	100	511
164	100	509
165	100	507
166	101	505
167	101	502
