iter	Passed	Remaining
0	48	48720
1	49	24487
2	49	16405
3	50	12628
4	51	10151
5	51	8499
6	51	7317
7	51	6433
8	52	5744
9	52	5193
10	52	4741
11	53	4365
12	53	4048
13	53	3776
14	53	3540
15	55	3413
16	56	3258
17	57	3114
18	57	2981
19	58	2863
20	59	2754
21	59	2658
22	60	2574
23	61	2492
24	61	2416
25	62	2343
26	63	2276
27	63	2213
28	64	2154
29	64	2099
30	65	2048
31	66	2000
32	66	1955
33	66	1903
34	67	1871
35	68	1833
36	69	1798
37	69	1765
38	70	1734
39	70	1696
40	71	1680
41	72	1657
42	73	1624
43	74	1609
44	74	1587
45	75	1567
46	76	1547
47	77	1527
48	77	1508
49	78	1496
50	79	1471
51	80	1459
52	80	1441
53	81	1423
54	81	1406
55	82	1390
56	83	1374
57	83	1354
58	84	1344
59	84	1330
60	85	1316
61	86	1303
62	86	1286
63	87	1278
64	88	1267
65	88	1251
66	89	1245
67	90	1235
68	90	1225
69	91	1214
70	91	1200
71	92	1195
72	93	1186
73	93	1172
74	94	1171
75	95	1158
76	95	1145
77	96	1144
78	97	1137
79	97	1125
80	98	1121
81	99	1113
82	99	1100
83	100	1096
84	100	1085
85	101	1075
86	101	1064
87	102	1061
88	103	1056
89	104	1051
90	104	1042
91	105	1042
92	105	1033
93	107	1033
94	107	1024
95	107	1015
96	108	1006
97	109	1007
98	109	999
99	110	990
100	110	982
101	110	975
102	111	967
103	111	959
104	111	952
105	112	944
106	112	937
107	112	930
108	113	923
109	113	916
110	113	910
111	114	903
112	114	897
113	114	891
114	114	884
115	115	878
116	115	872
117	115	866
118	116	860
119	116	854
120	116	849
121	117	843
122	117	837
123	117	832
124	118	828
125	118	823
126	118	817
127	119	812
128	119	808
129	120	803
130	120	798
131	120	794
132	121	789
133	121	784
134	121	780
135	122	776
136	122	771
137	122	767
138	123	763
139	123	758
140	123	754
141	124	749
142	124	745
143	124	741
144	125	737
145	125	733
146	125	729
147	126	725
148	126	721
149	126	717
150	127	714
151	127	710
152	127	706
153	128	703
154	128	699
155	128	696
156	129	692
157	129	689
158	129	686
159	130	682
160	130	678
161	130	675
162	130	672
163	131	669
164	131	666
165	131	663
166	132	659
167	132	656
168	132	653
169	133	651
170	133	649
171	134	646
172	134	644
173	135	641
174	135	638
175	135	635
176	136	632
177	136	630
178	136	627
179	137	624
180	137	622
181	137	619
182	138	616
183	138	614
184	138	611
185	139	609
186	139	606
187	139	604
188	140	601
189	140	599
190	140	596
191	141	594
192	141	591
193	141	589
194	142	586
195	142	584
196	142	582
197	143	580
198	143	577
199	143	575
200	144	573
201	144	570
202	144	568
203	145	566
204	145	564
205	145	562
206	146	560
207	146	558
208	146	555
209	147	553
210	147	551
211	147	549
212	148	547
213	148	546
214	149	544
215	149	542
216	149	540
217	150	539
218	150	537
219	150	535
220	151	533
221	151	531
222	152	529
223	152	527
224	152	526
225	153	524
226	153	522
227	153	520
228	154	518
229	154	517
230	154	515
231	155	513
232	155	511
233	155	510
234	156	508
235	156	506
236	156	505
237	157	503
238	157	501
239	157	499
240	158	498
241	158	497
242	159	495
243	159	493
244	159	492
245	160	490
246	160	489
247	160	487
248	161	485
249	161	484
250	161	482
251	162	481
252	162	479
253	162	478
254	163	476
255	163	475
256	163	474
257	164	472
258	164	471
259	165	469
260	165	468
261	165	467
262	166	465
263	166	464
264	166	462
265	167	461
266	167	459
267	167	458
268	168	457
269	168	455
270	168	454
271	169	453
272	169	451
273	170	450
274	170	449
275	170	447
276	171	446
277	171	445
278	171	443
279	172	442
280	172	441
281	172	439
282	173	438
283	173	437
284	173	435
285	174	434
286	174	433
287	174	431
288	175	430
289	175	429
290	175	428
291	176	426
292	176	425
293	176	424
294	177	423
295	177	422
296	177	420
297	178	419
298	178	418
299	178	417
300	179	416
301	179	415
302	180	414
303	180	413
304	180	411
305	181	410
306	181	409
307	181	408
308	182	407
309	182	406
310	182	405
311	183	404
312	183	403
313	183	401
314	184	400
315	184	399
316	185	398
317	185	397
318	185	396
319	186	395
320	186	394
321	186	393
322	187	392
323	187	391
324	187	390
325	188	388
326	188	387
327	188	386
328	189	385
329	189	384
330	189	383
331	190	382
332	190	381
333	190	380
334	191	379
335	191	378
336	191	377
337	192	376
338	192	375
339	192	374
340	193	373
341	193	372
342	193	371
343	194	370
344	194	369
345	195	368
346	195	367
347	195	366
348	196	365
349	196	364
350	196	363
351	197	363
352	197	362
353	197	361
354	198	360
355	198	359
356	199	358
357	199	357
358	199	356
359	200	355
360	200	354
361	200	354
362	201	353
363	201	352
364	201	351
365	202	350
366	202	349
367	202	348
368	203	347
369	203	346
370	204	345
371	204	344
372	204	344
373	205	343
374	205	342
375	205	341
376	206	340
377	206	339
378	206	338
379	207	337
380	207	336
381	207	336
382	208	335
383	208	334
384	208	333
385	209	332
386	209	331
387	210	331
388	210	330
389	210	329
390	211	328
391	211	327
392	211	327
393	212	326
394	212	325
395	212	324
396	213	323
397	213	322
398	213	322
399	214	321
400	214	320
401	214	319
402	215	318
403	215	318
404	215	317
405	216	316
406	216	315
407	216	314
408	217	313
409	217	313
410	217	312
411	218	311
412	218	310
413	218	309
414	219	309
415	219	308
416	219	307
417	220	306
418	220	306
419	221	305
420	221	304
421	221	303
422	222	302
423	222	302
424	222	301
425	223	300
426	223	299
427	223	299
428	224	298
429	224	297
430	225	297
431	225	296
432	226	296
433	226	295
434	227	294
435	227	294
436	227	293
437	228	292
438	228	291
439	228	291
440	229	290
441	229	289
442	230	289
443	230	288
444	230	287
445	231	286
446	231	286
447	231	285
448	232	284
449	232	284
450	232	283
451	233	282
452	233	282
453	233	281
454	234	280
455	234	280
456	235	279
457	235	278
458	235	277
459	236	277
460	236	276
461	236	275
462	237	274
463	237	274
464	237	273
465	238	272
466	238	272
467	238	271
468	239	270
469	240	271
470	240	270
471	241	269
472	241	269
473	241	268
474	242	267
475	242	267
476	242	266
477	243	265
478	244	266
479	245	265
480	245	265
481	246	264
482	246	263
483	246	263
484	247	262
485	247	261
486	248	261
487	248	260
488	248	259
489	249	259
490	249	258
491	249	257
492	250	257
493	250	256
494	250	255
495	251	255
496	251	254
497	251	253
498	252	253
499	252	252
500	252	251
501	253	251
502	253	250
503	253	249
504	254	249
505	254	248
506	255	248
507	256	248
508	256	247
509	257	247
510	257	246
511	257	245
512	258	245
513	258	244
514	258	243
515	259	243
516	259	242
517	260	241
518	260	241
519	260	240
520	261	240
521	261	239
522	261	238
523	262	238
524	262	237
525	263	237
526	263	236
527	263	235
528	264	235
529	264	234
530	264	233
531	265	233
532	265	232
533	265	231
534	266	231
535	266	230
536	266	230
537	267	229
538	267	228
539	267	228
540	268	227
541	268	226
542	268	226
543	269	225
544	269	225
545	269	224
546	271	224
547	271	224
548	271	223
549	272	223
550	273	222
551	273	222
552	273	221
553	274	220
554	274	220
555	275	219
556	275	219
557	275	218
558	276	217
559	276	217
560	277	216
561	277	216
562	277	215
563	277	214
564	278	214
565	278	213
566	279	213
567	279	212
568	279	211
569	280	211
570	280	210
571	280	210
572	281	209
573	281	208
574	281	208
575	282	207
576	282	207
577	282	206
578	283	205
579	283	205
580	283	204
581	284	204
582	284	203
583	284	202
584	285	202
585	286	202
586	287	202
